Team,TotalValueEUR,AvgValueEUR
France,1520000000,58580000
England,1360000000,52240000
Spain,1220000000,47030000
Portugal,1010000000,38670000
Germany,947000000,36420000
Brazil,928200000,35700000
Argentina,807500000,31060000
Netherlands,754200000,29010000
Norway,589900000,22690000
Belgium,547500000,21060000
Ivory Coast,522100000,20080000
Senegal,478100000,18390000
Morocco,447700000,17220000
Sweden,409080000,15730000
Croatia,387300000,14900000
United States,385650000,14830000
Ecuador,368700000,14180000
Switzerland,332500000,12790000
Colombia,302350000,11630000
Japan,270850000,10420000
Algeria,251900000,10080000
Austria,245200000,9430000
Ghana,234350000,9010000
Canada,198650000,7640000
Mexico,191850000,7380000
Paraguay,153650000,5910000
Bosnia and Herzegovina,146400000,5630000
DR Congo,143900000,5530000
Egypt,116480000,4480000
Australia,77450000,2980000
Cape Verde,54500000,2100000
South Africa,49250000,1890000
Turkey,473700000,18220000
Uruguay,359300000,13820000
Czech Republic,188180000,7240000
Scotland,170250000,6550000
South Korea,139050000,5350000
Uzbekistan,85130000,3270000
Tunisia,69950000,2690000
Haiti,55850000,2150000
Saudi Arabia,40680000,1560000
Panama,34550000,1330000
New Zealand,34300000,1320000
Iran,32050000,1230000
Curaçao,25780000,991000
Iraq,21200000,815000
Jordan,20300000,781000
Qatar,19930000,766000
